"Team","Member","Order","Point","Adc","Recalled","Overclm","Outcome","Tnm","Game","Gender","Adcp","Accuracy","Teammate","Teamsize","outcomexspec"
8,91,4,5,25,4,5,"win","2015.10.27","Single","Male",28,-1,10,20,25
8,92,5,75,19,75,9,"win","2015.10.27","Double","Male",23,0,10,20,19
8,93,5,75,19,75,10,"win","2015.10.27","Double","Male",23,0,10,20,19
8,94,6,70,15,70,10,"win","2015.10.27","Single","Male",18,0,10,20,15
9,95,1,9,16,10,5,"loss","2015.10.27","Double","Female",19,1,16,17,-16
9,96,1,9,16,7,3,"loss","2015.10.27","Double","Female",19,-2,16,17,-16
9,97,2,17,18,15,7,"loss","2015.10.27","Double","Male",22,-2,16,17,-18
9,98,2,17,18,15,9,"loss","2015.10.27","Double","Female",22,-2,16,17,-18
9,99,3,19,12,10,7,"loss","2015.10.27","Double","Male",16,-9,16,17,-12
9,100,3,19,12,24,3,"loss","2015.10.27","Double","Female",16,5,16,17,-12
9,101,4,10,11,6,3,"loss","2015.10.27","Double","Female",14,-4,16,17,-11
9,102,4,10,11,7,3,"loss","2015.10.27","Double","Male",14,-3,16,17,-11
9,103,5,9,13,8,6,"loss","2015.10.27","Double","Male",17,-1,16,17,-13
9,104,5,9,13,7,4,"loss","2015.10.27","Double","Female",17,-2,16,17,-13
9,105,6,36,11,30,4,"loss","2015.10.27","Single","Male",14,-6,16,17,-11
9,106,7,20,8,21,3,"loss","2015.10.27","Double","Male",11,1,16,17,-8
9,107,7,20,8,22,8,"loss","2015.10.27","Double","Male",11,2,16,17,-8
9,108,8,12,14,10,9,"loss","2015.10.27","Single","Male",16,-2,16,17,-14
9,109,9,19,16,16,5,"loss","2015.10.27","Single","Male",19,-3,16,17,-16
9,110,10,3,10,3,5,"loss","2015.10.27","Single","Male",12,0,16,17,-10
10,111,1,37,18,27,7,"win","2015.10.27","Single","Male",21,-10,11,20,18
10,112,2,18,9,16,3,"win","2015.10.27","Double","Male",12,-2,11,20,9
10,113,2,18,9,15,5,"win","2015.10.27","Double","Female",12,-3,11,20,9
10,114,3,32,6,23,6,"win","2015.10.27","Double","Male",10,-9,11,20,6
10,115,3,32,6,31,2,"win","2015.10.27","Double","Female",10,-1,11,20,6
10,116,4,24,8,22,6,"win","2015.10.27","Single","Male",11,-2,11,20,8
10,117,5,0,6,0,1,"win","2015.10.27","Single","Female",8,0,11,20,6
10,118,6,14,6,14,5,"win","2015.10.27","Double","Male",9,0,11,20,6
10,119,6,14,6,10,7,"win","2015.10.27","Double","Female",9,-4,11,20,6
10,120,7,29,10,24,7,"win","2015.10.27","Double","Female",13,-5,11,20,10
10,121,7,29,10,28,8,"win","2015.10.27","Double","Male",13,-1,11,20,10
