Team,Member,play_order_skill,earned_points,spectators_n,recalled_points,perceived_contribution_1_10,team_outcome,tournament,match_type,gender,Adcp,accuracy_recalled_minus_earned,team_size,Teamsize,outcomexspec
9.0,98.0,2.0,17.0,18.0,15.0,9.0,,2015.10.27,Double,Female,22.0,-2.0,16.0,17.0,-18.0
9.0,99.0,3.0,19.0,12.0,10.0,7.0,,2015.10.27,Double,Male,16.0,-9.0,16.0,17.0,-12.0
9.0,100.0,3.0,19.0,12.0,24.0,3.0,,2015.10.27,Double,Female,16.0,5.0,16.0,17.0,-12.0
9.0,101.0,4.0,10.0,11.0,6.0,3.0,,2015.10.27,Double,Female,14.0,-4.0,16.0,17.0,-11.0
9.0,102.0,4.0,10.0,11.0,7.0,3.0,,2015.10.27,Double,Male,14.0,-3.0,16.0,17.0,-11.0
9.0,103.0,5.0,9.0,13.0,8.0,6.0,,2015.10.27,Double,Male,17.0,-1.0,16.0,17.0,-13.0
9.0,104.0,5.0,9.0,13.0,7.0,4.0,,2015.10.27,Double,Female,17.0,-2.0,16.0,17.0,-13.0
9.0,105.0,6.0,36.0,11.0,30.0,4.0,,2015.10.27,Single,Male,14.0,-6.0,16.0,17.0,-11.0
9.0,106.0,7.0,20.0,8.0,21.0,3.0,,2015.10.27,Double,Male,11.0,1.0,16.0,17.0,-8.0
9.0,107.0,7.0,20.0,8.0,22.0,8.0,,2015.10.27,Double,Male,11.0,2.0,16.0,17.0,-8.0
9.0,108.0,8.0,12.0,14.0,10.0,9.0,,2015.10.27,Single,Male,16.0,-2.0,16.0,17.0,-14.0
9.0,109.0,9.0,19.0,16.0,16.0,5.0,,2015.10.27,Single,Male,19.0,-3.0,16.0,17.0,-16.0
9.0,110.0,10.0,3.0,10.0,3.0,5.0,,2015.10.27,Single,Male,12.0,0.0,16.0,17.0,-10.0
10.0,111.0,1.0,37.0,18.0,27.0,7.0,,2015.10.27,Single,Male,21.0,-10.0,11.0,20.0,18.0
10.0,112.0,2.0,18.0,9.0,16.0,3.0,,2015.10.27,Double,Male,12.0,-2.0,11.0,20.0,9.0
10.0,113.0,2.0,18.0,9.0,15.0,5.0,,2015.10.27,Double,Female,12.0,-3.0,11.0,20.0,9.0
10.0,114.0,3.0,32.0,6.0,23.0,6.0,,2015.10.27,Double,Male,10.0,-9.0,11.0,20.0,6.0
10.0,115.0,3.0,32.0,6.0,31.0,2.0,,2015.10.27,Double,Female,10.0,-1.0,11.0,20.0,6.0
10.0,116.0,4.0,24.0,8.0,22.0,6.0,,2015.10.27,Single,Male,11.0,-2.0,11.0,20.0,8.0
10.0,117.0,5.0,0.0,6.0,0.0,1.0,,2015.10.27,Single,Female,8.0,0.0,11.0,20.0,6.0
10.0,118.0,6.0,14.0,6.0,14.0,5.0,,2015.10.27,Double,Male,9.0,0.0,11.0,20.0,6.0
10.0,119.0,6.0,14.0,6.0,10.0,7.0,,2015.10.27,Double,Female,9.0,-4.0,11.0,20.0,6.0
10.0,120.0,7.0,29.0,10.0,24.0,7.0,,2015.10.27,Double,Female,13.0,-5.0,11.0,20.0,10.0
10.0,121.0,7.0,29.0,10.0,28.0,8.0,,2015.10.27,Double,Male,13.0,-1.0,11.0,20.0,10.0
